neighbourhood,province,room_type,minimum_nights,accommodates,bedrooms,price
City of Saint John,New Brunswick,Private room,1,2,1,60.0
City of Saint John,New Brunswick,Entire home/apt,5,6,3,109.0
City of Saint John,New Brunswick,Private room,1,2,1,46.0
Bathurst,New Brunswick,Entire home/apt,7,4,4,359.0
Saumarez,New Brunswick,Entire home/apt,2,4,2,95.0
Simonds,New Brunswick,Private room,1,2,1,76.0
Fredericton,New Brunswick,Private room,2,2,1,40.0
Sackville,New Brunswick,Private room,1,2,1,76.0
Moncton,New Brunswick,Private room,2,2,1,61.0
Saumarez,New Brunswick,Shared room,1,2,1,42.0
Moncton,New Brunswick,Entire home/apt,2,4,2,129.0
Northampton,New Brunswick,Hotel room,1,2,1,125.0
Shediac,New Brunswick,Entire home/apt,5,6,3,286.0
Blissfield,New Brunswick,Entire home/apt,2,8,4,199.0
Rothesay,New Brunswick,Private room,1,2,1,54.0
Simonds,New Brunswick,Private room,1,6,1,125.0
Dundas,New Brunswick,Entire home/apt,4,5,2,125.0
Wilmot,New Brunswick,Private room,1,4,2,76.0
City of Saint John,New Brunswick,Entire home/apt,1,3,2,65.0
Grand Manan,New Brunswick,Entire home/apt,2,7,2,85.0
Fredericton,New Brunswick,Entire home/apt,3,6,2,99.0
City of Saint John,New Brunswick,Private room,1,4,1,125.0
Bathurst,New Brunswick,Hotel room,1,2,1,139.0
Bathurst,New Brunswick,Hotel room,1,2,1,139.0
Bathurst,New Brunswick,Hotel room,1,4,1,179.0
Bathurst,New Brunswick,Hotel room,1,2,1,139.0
Bathurst,New Brunswick,Hotel room,1,2,1,129.0
Fredericton,New Brunswick,Entire home/apt,2,2,1,60.0
Grand Manan,New Brunswick,Entire home/apt,3,4,2,149.0
Fredericton,New Brunswick,Entire home/apt,2,3,2,80.0
Sackville,New Brunswick,Private room,2,2,1,50.0
City of Saint John,New Brunswick,Private room,1,2,1,46.0
City of Saint John,New Brunswick,Entire home/apt,2,4,2,117.0
Fredericton,New Brunswick,Entire home/apt,2,2,1,125.0
Saint Martins,New Brunswick,Entire home/apt,2,5,2,115.0
Southesk,New Brunswick,Entire home/apt,2,4,2,85.0
Fredericton,New Brunswick,Private room,1,1,1,65.0
Canterbury,New Brunswick,Entire home/apt,3,6,3,275.0
Moncton,New Brunswick,Entire home/apt,1,4,2,130.0
Shediac,New Brunswick,Entire home/apt,2,8,2,145.0
Shediac,New Brunswick,Entire home/apt,3,5,2,99.0
Moncton,New Brunswick,Entire home/apt,3,8,4,159.0
Moncton,New Brunswick,Private room,1,2,1,52.0
City of Saint John,New Brunswick,Entire home/apt,1,6,3,68.0
Shediac,New Brunswick,Private room,2,2,1,249.0
City of Saint John,New Brunswick,Entire home/apt,1,4,2,80.0
Beresford,New Brunswick,Entire home/apt,3,4,1,99.0
Shediac,New Brunswick,Entire home/apt,3,6,2,167.0
Moncton,New Brunswick,Entire home/apt,1,2,1,44.0
Moncton,New Brunswick,Entire home/apt,2,2,1,69.0
Saint Martins,New Brunswick,Entire home/apt,3,6,3,249.0
Dundas,New Brunswick,Entire home/apt,3,5,2,175.0
Fredericton,New Brunswick,Entire home/apt,2,6,3,110.0
